Y	P	M
126.046492	20.20294454	284.9326015
128.7695907	20.37140692	288.2827116
131.6813404	20.71644295	292.8979205
131.8662801	21.82644656	297.2304529
134.5547257	23.15438139	278.3568839
126.3155944	23.35732607	310.5301285
129.2797811	24.3689672	325.5666922
124.9175081	25.7026419	336.4642196
119.7313216	27.25773869	352.2830438
115.8625011	29.16080789	395.3838752
111.5618238	31.271492	421.4382459
110.8899365	33.42316808	426.5561749
112.0266633	35.99159752	483.2816661
104.3187729	39.19315471	506.2960546
95.9612158	42.33454986	533.0457109
88.22179854	45.42595532	551.1990736
82.55616995	47.28637408	571.1719232
82.25252916	49.35053805	606.7763515
83.27937524	52.06450879	650.9683033
83.2654643	54.58347345	720.0737538
87.77100049	58.20726488	761.1042217
81.94341326	61.7357173	783.8923507
87.42853492	63.42197853	820.3710446
88.32676396	66.78142037	841.8997767
88.04857603	70.38379573	848.9935976
91.54356589	72.36637248	895.820586
93.83090779	74.91988404	918.3790807
97.23189831	79.70810406	914.185865
98.32338898	84.89663426	911.9479268
100.0621524	90.54562289	915.9376907
100.7409849	97.79226525	926.3649548
100.6809629	103.2149402	967.7196762
98.26271994	109.426206	937.2345737
102.2086663	115.6714314	998.0279865
102.152452	121.1012718	1055.225888
103.4921017	126.5039586	1114.540824
104.9300785	131.568672	1149.130358
108.3828483	137.537409	1203.348615
112.9470497	143.498815	1257.580653
116.4019953	149.0943128	1333.509641
120.7117548	155.1931832	1423.853905
123.3724002	161.2117726	1491.435679
128.2408317	165.8256624	1566.89693
131.504867	168.7975929	1619.446091
132.8085287	172.3171576	1673.087981
133.2506183	176.7210664	1746.835069
137.734075	181.2820539	1816.736042
145.1335209	186.4923418	1903.799809
153.5269906	190.6542776	2004.708103
160.5630382	194.3265395	2042.242698
165.4654815	197.976836	2127.626404
173.0873091	204.6028568	2203.179506
174.2077676	210.0918959	2238.448761
176.5872031	214.6058879	2313.276598
174.7788825	219.0023515	2376.361706
170.8177836	222.426296	2479.882105
175.1197345	225.0530694	2627.54821
175.6524773	227.9749653	2727.148494
177.1023807	231.0569021	2851.626067
179.7984657	232.6260465	2917.709056
182.4828677	235.8888992	3143.674919
