DLY	        DLP	        DLM
0.02137390	0.00830390	0.01168900
0.02236020	0.01679540	0.01588250
0.00140350	0.05219460	0.01468360
0.02018260	0.05906160	-0.06560370
-0.06318750	0.00872670	0.10937690
0.02319540	0.04239980	0.04728640
-0.03432530	0.05328330	0.03292450
-0.04240330	0.05874370	0.04594310
-0.03284610	0.06748810	0.11542220
-0.03782520	0.06988130	0.06381610
-0.00604080	0.06654240	0.01207080
0.01019880	0.07403620	0.12485560
-0.07128560	0.08521660	0.04652190
-0.08350720	0.07710140	0.05148560
-0.08409000	0.07048010	0.03348890
-0.06637520	0.04013850	0.03559420
-0.00368480	0.04272650	0.06047000
0.01240680	0.05353480	0.07030070
-0.00016710	0.04724770	0.10089270
0.05269730	0.06427900	0.05541670
-0.06870220	0.05885250	0.02950140
0.06479280	0.02694780	0.04548500
0.01022140	0.05161440	0.02590420
-0.00315450	0.05253820	0.00839070
0.03892630	0.02777870	0.05368850
0.02467930	0.03467760	0.02487010
0.03560450	0.06195190	-0.00457630
0.01116310	0.06306320	-0.00245100
0.01752960	0.06441940	0.00436540
0.00676120	0.07699160	0.01131990
-0.00059600	0.05396810	0.04367420
-0.02431200	0.05843680	-0.03200890
0.03937180	0.05550330	0.06284770
-0.00055010	0.04587350	0.05572880
0.01302900	0.04364640	0.05468760
0.01379890	0.03925530	0.03056290
0.03237560	0.04436700	0.04610270
0.04124930	0.04243080	0.04408160
0.03013060	0.03825230	0.05862450
0.03635580	0.04009160	0.06555290
0.02180190	0.03804820	0.04637200
0.03870260	0.02821820	0.04935800
0.02513390	0.01776330	0.03298700
0.00986460	0.02063640	0.03258680
0.00332320	0.02523590	0.04313460
0.03309310	0.02548150	0.03923590
0.05232930	0.02833600	0.04681030
0.05622220	0.02207150	0.05164670
0.04481020	0.01907820	0.01855010
0.03007600	0.01861010	0.04095840
0.04503350	0.03292080	0.03489460
0.00645250	0.02647420	0.01588160
0.01356620	0.02125820	0.03288190
-0.01029320	0.02027920	0.02690570
-0.02292430	0.01551330	0.04264040
0.02487250	0.01174040	0.05784020
0.00303750	0.01289960	0.03720540
0.00822050	0.01342820	0.04463280
0.01510860	0.00676820	0.02290940
0.01481970	0.01392870	0.07459370
nnnnnnnn	0.01104690	0.02328941
nnnnnnnn	0.00708245	0.04925628
