Y	P	M
4.700	-1.066	19.299
4.707	-1.021	19.336
4.720	-0.978	19.401
4.736	-0.931	19.455
4.722	-0.903	19.522
4.751	-0.787	19.602
4.756	-0.708	19.631
4.764	-0.670	19.684
4.795	-0.532	19.786
4.810	-0.341	19.865
4.796	-0.222	20.021
4.779	-0.146	20.096
4.823	0.019	20.220
4.808	0.278	20.456
4.717	0.836	20.818
4.705	1.732	21.353
4.467	2.524	22.123
4.448	2.746	22.520
4.482	2.907	22.832
4.491	3.026	22.957
4.391	3.197	22.994
4.295	3.346	23.051
4.259	3.449	23.145
4.238	3.518	23.080
4.304	3.589	23.135
4.343	3.707	23.204
4.350	3.817	23.294
4.346	3.891	23.399
4.356	3.947	23.436
4.391	4.028	23.498
4.367	4.110	23.557
4.416	4.183	23.661
4.458	4.237	23.762
4.495	4.312	23.797
4.552	4.398	23.870
4.546	4.469	23.992
4.600	4.528	24.022
4.587	4.589	24.119
4.605	4.627	24.210
4.622	4.671	24.302
4.622	4.718	24.392
4.659	4.769	24.447
4.677	4.809	24.526
4.687	4.843	24.641
4.697	4.881	24.683
4.729	4.909	24.763
4.737	4.944	24.809
4.750	4.971	24.811
4.766	5.011	24.842
4.778	5.033	24.908
4.782	5.047	24.946
4.779	5.057	24.966
4.785	5.072	25.057
4.806	5.095	25.091
4.829	5.118	25.128
4.839	5.146	25.179
4.843	5.171	25.101
4.855	5.191	25.166
4.858	5.220	25.116
4.863	5.234	25.115
4.866	5.239	25.155
4.865	5.255	25.163
4.865	5.266	25.219
4.865	5.271	25.247
4.870	5.274	25.280
4.873	5.276	25.356
4.881	5.278	25.381
4.886	5.278	25.429
