DLY	DLP	DLM
0.007	0.045	0.037
0.013	0.043	0.065
0.016	0.047	0.054
-0.014	0.028	0.067
0.029	0.116	0.080
0.005	0.079	0.029
0.008	0.038	0.053
0.031	0.138	0.102
0.015	0.191	0.079
-0.014	0.119	0.156
-0.017	0.076	0.075
0.044	0.165	0.124
-0.015	0.259	0.236
-0.091	0.558	0.362
-0.012	0.896	0.535
-0.238	0.792	0.770
-0.019	0.222	0.397
0.034	0.161	0.312
0.009	0.119	0.125
-0.100	0.171	0.037
-0.096	0.149	0.057
-0.036	0.103	0.094
-0.021	0.069	-0.065
0.066	0.071	0.055
0.039	0.118	0.069
0.007	0.110	0.090
-0.004	0.074	0.105
0.010	0.056	0.037
0.035	0.081	0.062
-0.024	0.082	0.059
0.049	0.073	0.104
0.042	0.054	0.101
0.037	0.075	0.035
0.057	0.086	0.073
-0.006	0.071	0.122
0.054	0.059	0.030
-0.013	0.061	0.097
0.018	0.038	0.091
0.017	0.044	0.092
0.000	0.047	0.090
0.037	0.051	0.055
0.018	0.040	0.079
0.010	0.034	0.115
0.010	0.038	0.042
0.032	0.028	0.080
0.008	0.035	0.046
0.013	0.027	0.002
0.016	0.040	0.031
0.012	0.022	0.066
0.004	0.014	0.038
-0.003	0.010	0.020
0.006	0.015	0.091
0.021	0.023	0.034
0.023	0.023	0.037
0.010	0.028	0.051
0.004	0.025	-0.078
0.012	0.020	0.065
0.003	0.029	-0.050
0.005	0.014	-0.001
0.003	0.005	0.040
-0.001	0.016	0.008
0.000	0.011	0.056
0.000	0.005	0.028
0.005	0.003	0.033
0.003	0.002	0.076
0.008	0.002	0.025
0.005	0.000	0.048
